incident_acres_burned,incident_dateonly_extinguished,incident_containment,incident_name,incident_county,STNAME,FIPS
12000,2003-02-23,100,Local,Riverside County,CA,06065
3000,2003-05-03,100,Delima,Tulare County,CA,06107
6804,2003-06-01,100,Bird,San Joaquin County,CA,06077
1200,2003-07-22,100,Parkhill,San Luis Obispo County,CA,06079
9815,2003-10-02,100,Kibbie Complex,Tuolumne County,CA,06109
18705,2003-07-26,100,Coyote,San Diego County,CA,06073
1898,2003-08-20,100,Locust,Riverside County,CA,06065
24882,2003-10-15,100,Canoe,Humboldt County,CA,06023
2397,2003-10-23,100,Pass,Riverside County,CA,06065
66894,2003-11-05,100,Grand Prix,San Bernardino County,CA,06071
63991,2003-11-14,100,Piru,Ventura County,CA,06111
8650,2003-10-24,100,Verdale,Los Angeles County,CA,06037
108204,2003-11-05,100,Simi,Ventura County,CA,06111
273246,2003-12-05,100,Cedar,San Diego County,CA,06073
91281,2003-11-14,100,Old,San Bernardino County,CA,06071
46291,2003-10-27,100,Otay,San Diego County,CA,06073
46000,2003-10-28,100,Mine,San Diego County,CA,06073
10000,2003-10-29,100,Mountain,Riverside County,CA,06065
56700,2003-11-06,100,Paradise,San Diego County,CA,06073
1200,2003-10-30,100,Whitmore,Shasta County,CA,06089
2464,2004-04-26,100,Pleasure Fire,Riverside County,CA,06065
2040,2004-05-03,100,India,San Diego County,CA,06073
8831,2004-05-07,100,Eagle,Riverside County,CA,06065
16460,2004-05-07,100,Cerrito,Riverside County,CA,06065
1127,2004-05-07,100,Cachuma,Santa Barbara County,CA,06083
1845,2004-05-15,100,Cottonwood,Riverside County,CA,06065
7440,2004-06-11,100,Gaviota,Santa Barbara County,CA,06083
5060,2004-07-01,100,Meadow,Mariposa County,CA,06043
3304,2004-09-13,100,Bluff,Shasta County,CA,06089
3833,2004-07-16,100,Verbenia,Riverside County,CA,06065
1307,2004-07-13,100,Gatos,Fresno County,CA,06019
17418,2004-07-21,100,Pine,Los Angeles County,CA,06037
8649,2004-07-15,100,Mataguary,San Diego County,CA,06073
3667,2004-07-20,100,State Melton,Riverside County,CA,06065
6002,2004-07-21,100,Foothill,Los Angeles County,CA,06037
1500,2004-07-24,100,Pelican,Stanislaus County,CA,06099
18026,2004-07-23,100,Crown Complex,Los Angeles County,CA,06037
3422,2004-07-29,100,Straylor,Lassen County,CA,06035
2400,2004-07-26,100,Irongate,Siskiyou County,CA,06093
4030,2004-08-03,100,Sims,Trinity County,CA,06105
1330,2004-08-09,100,East,Los Angeles County,CA,06037
3443,2004-08-09,100,Copper,Calaveras County,CA,06009
1246,2004-08-10,100,Kincaid,Santa Clara County,CA,06085
1670,2004-08-11,100,Early,Tuolumne County,CA,06109
2030,2004-08-15,100,Oregon,Butte County,CA,06007
10848,2004-08-16,100,Bear,Shasta County,CA,06089
3148,2004-08-16,100,Deep,Tulare County,CA,06107
13005,2004-08-20,100,French,Shasta County,CA,06089
12525,2004-09-08,100,Geysers,Lake County,CA,06033
2476,2004-09-05,100,Pattison,Calaveras County,CA,06009
1100,2004-09-04,100,Cement,Napa County,CA,06055
1007,2004-09-09,100,Runaway,San Bernardino County,CA,06071
1347,2004-09-15,100,Old Highway,Mariposa County,CA,06043
16800,2004-10-21,100,Power,Amador County,CA,06005
39138,2004-10-16,100,Rumsey,Yolo County,CA,06113
7700,2004-10-17,100,Freds,El Dorado County,CA,06017
1232,2005-06-03,100,Dos Amigos,Merced County,CA,06047
