,"AL,01,001,Autauga County,H1"
0,"AL,01,003,Baldwin County,H1"
1,"AL,01,005,Barbour County,H1"
2,"AL,01,007,Bibb County,H1"
3,"AL,01,009,Blount County,H1"
4,"AL,01,011,Bullock County,H1"
5,"AL,01,013,Butler County,H1"
6,"AL,01,015,Calhoun County,H1"
7,"AL,01,017,Chambers County,H1"
8,"AL,01,019,Cherokee County,H1"
9,"AL,01,021,Chilton County,H1"
10,"AL,01,023,Choctaw County,H1"
11,"AL,01,025,Clarke County,H1"
12,"AL,01,027,Clay County,H1"
13,"AL,01,029,Cleburne County,H1"
14,"AL,01,031,Coffee County,H1"
15,"AL,01,033,Colbert County,H1"
16,"AL,01,035,Conecuh County,H1"
17,"AL,01,037,Coosa County,H1"
18,"AL,01,039,Covington County,H1"
19,"AL,01,041,Crenshaw County,H1"
20,"AL,01,043,Cullman County,H1"
21,"AL,01,045,Dale County,H1"
22,"AL,01,047,Dallas County,H1"
23,"AL,01,049,DeKalb County,H1"
24,"AL,01,051,Elmore County,H1"
25,"AL,01,053,Escambia County,H1"
26,"AL,01,055,Etowah County,H1"
27,"AL,01,057,Fayette County,H1"
28,"AL,01,059,Franklin County,H1"
29,"AL,01,061,Geneva County,H1"
30,"AL,01,063,Greene County,H1"
31,"AL,01,065,Hale County,H1"
32,"AL,01,067,Henry County,H1"
33,"AL,01,069,Houston County,H1"
34,"AL,01,071,Jackson County,H1"
35,"AL,01,073,Jefferson County,H1"
36,"AL,01,075,Lamar County,H1"
37,"AL,01,077,Lauderdale County,H1"
38,"AL,01,079,Lawrence County,H1"
39,"AL,01,081,Lee County,H1"
40,"AL,01,083,Limestone County,H1"
41,"AL,01,085,Lowndes County,H1"
42,"AL,01,087,Macon County,H1"
43,"AL,01,089,Madison County,H1"
44,"AL,01,091,Marengo County,H1"
45,"AL,01,093,Marion County,H1"
46,"AL,01,095,Marshall County,H1"
47,"AL,01,097,Mobile County,H1"
48,"AL,01,099,Monroe County,H1"
49,"AL,01,101,Montgomery County,H1"
50,"AL,01,103,Morgan County,H1"
51,"AL,01,105,Perry County,H1"
52,"AL,01,107,Pickens County,H1"
53,"AL,01,109,Pike County,H1"
54,"AL,01,111,Randolph County,H1"
55,"AL,01,113,Russell County,H1"
56,"AL,01,115,St. Clair County,H1"
57,"AL,01,117,Shelby County,H1"
58,"AL,01,119,Sumter County,H1"
59,"AL,01,121,Talladega County,H1"
60,"AL,01,123,Tallapoosa County,H1"
61,"AL,01,125,Tuscaloosa County,H1"
62,"AL,01,127,Walker County,H1"
63,"AL,01,129,Washington County,H1"
64,"AL,01,131,Wilcox County,H1"
65,"AL,01,133,Winston County,H1"
66,"AK,02,013,Aleutians East Borough,H1"
67,"AK,02,016,Aleutians West Census Area,H5"
68,"AK,02,020,Anchorage Municipality,H6"
69,"AK,02,050,Bethel Census Area,H5"
70,"AK,02,060,Bristol Bay Borough,H1"
71,"AK,02,068,Denali Borough,H1"
72,"AK,02,070,Dillingham Census Area,H5"
73,"AK,02,090,Fairbanks North Star Borough,H1"
74,"AK,02,100,Haines Borough,H1"
75,"AK,02,105,Hoonah-Angoon Census Area,H5"
76,"AK,02,110,Juneau City and Borough,H6"
77,"AK,02,122,Kenai Peninsula Borough,H1"
78,"AK,02,130,Ketchikan Gateway Borough,H1"
79,"AK,02,150,Kodiak Island Borough,H1"
80,"AK,02,164,Lake and Peninsula Borough,H1"
81,"AK,02,170,Matanuska-Susitna Borough,H1"
82,"AK,02,180,Nome Census Area,H5"
83,"AK,02,185,North Slope Borough,H1"
84,"AK,02,188,Northwest Arctic Borough,H1"
85,"AK,02,195,Petersburg Census Area,H5"
86,"AK,02,198,Prince of Wales-Hyder Census Area,H5"
87,"AK,02,220,Sitka City and Borough,H6"
88,"AK,02,230,Skagway Municipality,H1"
89,"AK,02,240,Southeast Fairbanks Census Area,H5"
90,"AK,02,261,Valdez-Cordova Census Area,H5"
91,"AK,02,270,Wade Hampton Census Area,H5"
92,"AK,02,275,Wrangell City and Borough,H1"
93,"AK,02,282,Yakutat City and Borough,H1"
94,"AK,02,290,Yukon-Koyukuk Census Area,H5"
95,"AZ,04,001,Apache County,H1"
96,"AZ,04,003,Cochise County,H1"
97,"AZ,04,005,Coconino County,H1"
98,"AZ,04,007,Gila County,H1"
99,"AZ,04,009,Graham County,H1"
100,"AZ,04,011,Greenlee County,H1"
101,"AZ,04,012,La Paz County,H1"
102,"AZ,04,013,Maricopa County,H1"
103,"AZ,04,015,Mohave County,H1"
104,"AZ,04,017,Navajo County,H1"
105,"AZ,04,019,Pima County,H1"
106,"AZ,04,021,Pinal County,H1"
107,"AZ,04,023,Santa Cruz County,H1"
108,"AZ,04,025,Yavapai County,H1"
109,"AZ,04,027,Yuma County,H1"
110,"AR,05,001,Arkansas County,H1"
111,"AR,05,003,Ashley County,H1"
