,Name ,County ,Acres ,Start Date ,Contained Date ,Unnamed: 5
0,Local,Riverside,"12,000",23-Feb-03,23-Feb-03,
1,Delima,Tulare,"3,000",3-May-03,3-May-03,
2,Bird,San Joaquin,"6,804",1-Jun-03,1-Jun-03,
3,Tejon,Kern,"1,155",29-Jun-03,2-Jun-03,
4,Parkhill,San Luis Obispo,"1,200",20-Jul-03,22-Jul-03,
5,Kibbie Complex,Tuolumne,"9,815",20-Jul-03,2-Oct-03,
6,Coyote,San Diego,"18,705",16-Jul-03,26-Jul-03,
7,Locust,Riverside,"1,898",18-Aug-03,20-Aug-03,
8,Canoe,Humboldt,"24,882",3-Sep-03,15-Oct-03,
9,Pass,Riverside,"2,397",21-Oct-03,23-Oct-03,
10,Grand Prix,San Bernardino,"66,894",21-Oct-03,5-Nov-03,
11,Piru,Ventura,"63,991",23-Oct-03,14-Nov-03,
12,Verdale,Los Angeles,"8,650",24-Oct-03,24-Oct-03,
13,Simi,Ventura,"108,204",25-Oct-03,5-Nov-03,
14,Cedar,San Diego,"273,246",25-Oct-03,5-Dec-03,
15,Old,San Bernardino,"91,281",25-Oct-03,14-Nov-03,
16,Otay,San Diego,"46,291",26-Oct-03,27-Oct-03,
17,Mine,San Diego,"46,000",26-Oct-03,28-Oct-03,
18,Mountain,Riverside,"10,000",26-Oct-03,29-Oct-03,
19,Paradise,San Diego,"56,700",26-Oct-03,6-Nov-03,
20,Whitmore,Shasta,"1,200",27-Oct-03,30-Oct-03,
0,Pleasure Fire,Riverside,"2,464",25-Apr-04,26-Apr-04,
1,India,San Diego,"2,040",2-May-04,3-May-04,
2,Eagle,Riverside,"8,831",2-May-04,7-May-04,
3,Cerrito,Riverside,"16,460",3-May-04,7-May-04,
4,Cachuma,Santa Barbara,"1,127",3-May-04,7-May-04,
5,Cottonwood,Riverside,"1,845",12-May-04,15-May-04,
6,Gaviota,Santa Barbara,"7,440",5-Jun-04,11-Jun-04,
7,Meadow,Mariposa,"5,060",27-Jun-04,1-Jul-04,
8,Bluff,Shasta,"3,304",28-Jun-04,13-Sep-04,
9,Verbenia,Riverside,"3,833",11-Jul-04,16-Jul-04,
10,Gatos,Fresno,"1,307",11-Jul-04,13-Jul-04,
11,Pine,Los Angeles,"17,418",12-Jul-04,21-Jul-04,
12,Mataguary,San Diego,"8,649",13-Jul-04,15-Jul-04,
13,State Melton,Riverside,"3,667",17-Jul-04,20-Jul-04,
14,Foothill,Los Angeles,"6,002",17-Jul-04,21-Jul-04,
15,Pelican,Stanislaus,"1,500",19-Jul-04,24-Jul-04,
16,Crown Complex,Los Angeles,"18,026",20-Jul-04,23-Jul-04,
17,Straylor,Lassen,"3,422",22-Jul-04,29-Jul-04,
18,Irongate,Siskiyou,"2,400",24-Jul-04,26-Jul-04,
19,Sims,Trinity,"4,030",28-Jul-04,3-Aug-04,
20,East,Los Angeles,"1,330",7-Aug-04,9-Aug-04,
21,Copper,Calaveras,"3,443",8-Aug-04,9-Aug-04,
22,Kincaid,Santa Clara,"1,246",8-Aug-04,10-Aug-04,
23,Early,Tuolumne,"1,670",9-Aug-04,11-Aug-04,
24,Oregon,Butte,"2,030",11-Aug-04,15-Aug-04,
25,Bear,Shasta,"10,848",11-Aug-04,16-Aug-04,
26,Deep,Tulare,"3,148",12-Aug-04,16-Aug-04,
27,French,Shasta,"13,005",14-Aug-04,20-Aug-04,
28,Geysers,Lake,"12,525",3-Sep-04,8-Sep-04,
29,Pattison,Calaveras,"2,476",3-Sep-04,5-Sep-04,
30,Cement,Napa,"1,100",4-Sep-04,4-Sep-04,
