,Name ,County ,Acres ,Start Date ,Contained Date
0,Refuge,Kern,"2,500",7-May,9-May
1,Boulder,San Luis Obispo,"1,127",5-Jun,11-Jun
2,Sand,Yolo,"2,512",8-Jun,17-Jun
3,West Butte,Sutter,"1,300",8-Jun,10-Jun
4,McMillan,San Luis Obispo,"1,764",12-Jun,14-Jun
5,Lonoak,Monterey,"2,546",25-Jun,26-Jun
6,Rock,Stanislaus,"2,422",25-Jun,27-Jun
7,Cow,"Inyo, Tulare","1,975",25-Jul,11-Oct
8,Springs,Mono,"4,840",26-Jul,7-Oct
9,Tucker,Modoc,"14,150",28-Jul,15-Aug
10,W-1 McDonald,Lassen,"1,020",8-Aug,11-Aug
11,Gaines,Mariposa,"1,300",16-Aug,20-Aug
12,Mountain,Shasta,600,22-Aug,26-Aug
13,Long Valley,Lassen,"2,438",24-Aug,27-Aug
14,R-1 Ranch,Lassen,"3,380",28-Aug,5-Sep
15,Tenaja,Riverside,"1,926",4-Sep,14-Sep
16,Walker,Plumas,"54,608",4-Sep,25-Sep
17,Taboose,Inyo,"10,296",4-Sep,21-Nov
18,Lime,Siskiyou,"1,872",4-Sep,19-Sep
19,Middle,Trinity,"1,339",5-Sep,5-Oct
20,Red Bank,Tehama,"8,838",5-Sep,13-Sep
21,South,Tehama,"5,332",5-Sep,11-Oct
22,Lone,Modoc,"5,737",5-Sep,13-Sep
23,Springs,Mono,"4,840",6-Sep,23-Sep
24,Briceburg,Mariposa,"5,563",6-Oct,24-Oct
25,Sandalwood,Riverside,"1,011",10-Oct,14-Oct
26,Caples,El Dorado,"3,435",10-Oct,1-Nov
27,Saddleridge,Los Angeles,"8,799",10-Oct,31-Oct
28,Kincade,Sonoma,"77,758",23-Oct,6-Nov
29,Tick,Los Angeles,"4,615",24-Oct,31-Oct
30,Getty,Los Angeles,745,28-Oct,6-Nov
31,Easy,Ventura,"1,806",30-Oct,2-Nov
32,Hillside,San Bernardino,200,31-Oct,14-Nov
33,Maria,Ventura,"9,999",31-Oct,5-Nov
34,Ranch,Tehama,"2,534",3-Nov,15-Nov
35,Cave,Santa Barbara,"3,126",25-Nov,14-Dec
0,Interstate 5 ,Kings,"2,060",3-May,7-May
1,Range ,San Luis Obispo,"5,000",27-May,28-May
2,Scorpion ,Santa Barbara,"1,395",31-May,1-Jun
3,Quail ,Solano,"1,837",6-Jun,10-Jun
4,Wood ,San Diego,"11,000",8-Jun,12-Jun
5,India ,San Diego,"1,100",8-Jun,14-Jun
6,Soda ,San Luis Obispo,"1,672",10-Jun,11-Jun
7,Grant ,Sacramento,"5,042",12-Jun,17-Jun
8,Walker ,Calaveras,"1,455",16-Jun,20-Jun
9,Grade ,Tulare,"1,050",22-Jun,26-Jun
10,Pass ,Merced,"2,192",28-Jun,30-Jun
11,Bena ,Kern,"2,900",1-Jul,3-Jul
12,Crews ,Santa Clara,"5,513",5-Jul,13-Jul
13,Soledad ,Los Angeles,"1,525",5-Jul,15-Jul
