SoCal,NorCal,,
Imperial,Alameda,Madera,San Mateo
Kern,Alpine,Marin,Santa Clara
Los Angeles,Amador,Mariposa,Santa Cruz
Orange,Butte,Mendocino,Shasta
Riverside,Calaveras,Merced,Sierra
San Bernardino,Colusa,Modoc,Siskiyou
San Diego,Contra Costa,Mono,Solano
San Luis Obispo,Del Norte,Monterey,Sonoma
Santa Barbara,El Dorado,Napa,Stanislaus
Ventura,Fresno,Nevada,Sutter
x,Glenn,Placer,Tehama
x,Humboldt,Plumas,Trinity
x,Inyo,Sacramento,Tulare
x,Kings,San Benito,Tuolumne
x,Lake,San Francisco,Yolo
x,Lassen,San Joaquin,Yuba
