Name,County,Acres,Start Date,Contained Date,active,Percent contained,Difference,Year
Local,Riverside,12000,2003-02-23,2003-02-23,False,100,0,2003
Delima,Tulare,3000,2003-05-03,2003-05-03,False,100,0,2003
Bird,San Joaquin,6804,2003-06-01,2003-06-01,False,100,0,2003
Parkhill,San Luis Obispo,1200,2003-07-20,2003-07-22,False,100,2,2003
Kibbie Complex,Tuolumne,9815,2003-07-20,2003-10-02,False,100,74,2003
Coyote,San Diego,18705,2003-07-16,2003-07-26,False,100,10,2003
Locust,Riverside,1898,2003-08-18,2003-08-20,False,100,2,2003
Canoe,Humboldt,24882,2003-09-03,2003-10-15,False,100,42,2003
Pass,Riverside,2397,2003-10-21,2003-10-23,False,100,2,2003
Grand Prix,San Bernardino,66894,2003-10-21,2003-11-05,False,100,15,2003
Piru,Ventura,63991,2003-10-23,2003-11-14,False,100,22,2003
Verdale,Los Angeles,8650,2003-10-24,2003-10-24,False,100,0,2003
Simi,Ventura,108204,2003-10-25,2003-11-05,False,100,11,2003
Cedar,San Diego,273246,2003-10-25,2003-12-05,False,100,41,2003
Old,San Bernardino,91281,2003-10-25,2003-11-14,False,100,20,2003
Otay,San Diego,46291,2003-10-26,2003-10-27,False,100,1,2003
Mine,San Diego,46000,2003-10-26,2003-10-28,False,100,2,2003
Mountain,Riverside,10000,2003-10-26,2003-10-29,False,100,3,2003
Paradise,San Diego,56700,2003-10-26,2003-11-06,False,100,11,2003
Whitmore,Shasta,1200,2003-10-27,2003-10-30,False,100,3,2003
Pleasure Fire,Riverside,2464,2004-04-25,2004-04-26,False,100,1,2004
India,San Diego,2040,2004-05-02,2004-05-03,False,100,1,2004
Eagle,Riverside,8831,2004-05-02,2004-05-07,False,100,5,2004
Cerrito,Riverside,16460,2004-05-03,2004-05-07,False,100,4,2004
Cachuma,Santa Barbara,1127,2004-05-03,2004-05-07,False,100,4,2004
Cottonwood,Riverside,1845,2004-05-12,2004-05-15,False,100,3,2004
Gaviota,Santa Barbara,7440,2004-06-05,2004-06-11,False,100,6,2004
Meadow,Mariposa,5060,2004-06-27,2004-07-01,False,100,4,2004
Bluff,Shasta,3304,2004-06-28,2004-09-13,False,100,77,2004
Verbenia,Riverside,3833,2004-07-11,2004-07-16,False,100,5,2004
Gatos,Fresno,1307,2004-07-11,2004-07-13,False,100,2,2004
Pine,Los Angeles,17418,2004-07-12,2004-07-21,False,100,9,2004
Mataguary,San Diego,8649,2004-07-13,2004-07-15,False,100,2,2004
State Melton,Riverside,3667,2004-07-17,2004-07-20,False,100,3,2004
Foothill,Los Angeles,6002,2004-07-17,2004-07-21,False,100,4,2004
Pelican,Stanislaus,1500,2004-07-19,2004-07-24,False,100,5,2004
Crown Complex,Los Angeles,18026,2004-07-20,2004-07-23,False,100,3,2004
Straylor,Lassen,3422,2004-07-22,2004-07-29,False,100,7,2004
Irongate,Siskiyou,2400,2004-07-24,2004-07-26,False,100,2,2004
Sims,Trinity,4030,2004-07-28,2004-08-03,False,100,6,2004
East,Los Angeles,1330,2004-08-07,2004-08-09,False,100,2,2004
Copper,Calaveras,3443,2004-08-08,2004-08-09,False,100,1,2004
Kincaid,Santa Clara,1246,2004-08-08,2004-08-10,False,100,2,2004
Early,Tuolumne,1670,2004-08-09,2004-08-11,False,100,2,2004
Oregon,Butte,2030,2004-08-11,2004-08-15,False,100,4,2004
Bear,Shasta,10848,2004-08-11,2004-08-16,False,100,5,2004
Deep,Tulare,3148,2004-08-12,2004-08-16,False,100,4,2004
French,Shasta,13005,2004-08-14,2004-08-20,False,100,6,2004
Geysers,Lake,12525,2004-09-03,2004-09-08,False,100,5,2004
Pattison,Calaveras,2476,2004-09-03,2004-09-05,False,100,2,2004
Cement,Napa,1100,2004-09-04,2004-09-04,False,100,0,2004
Runaway,San Bernardino,1007,2004-09-07,2004-09-09,False,100,2,2004
Old Highway,Mariposa,1347,2004-09-12,2004-09-15,False,100,3,2004
Power,Amador,16800,2004-10-06,2004-10-21,False,100,15,2004
Rumsey,Yolo,39138,2004-10-10,2004-10-16,False,100,6,2004
Freds,El Dorado,7700,2004-10-13,2004-10-17,False,100,4,2004
Dos Amigos,Merced,1232,2005-06-03,2005-06-03,False,100,0,2005
Five,Fresno,5514,2005-06-04,2005-06-05,False,100,1,2005
Sperry,Stanislaus,1330,2005-06-04,2005-06-04,False,100,0,2005
Pioneer,San Bernardino,1876,2005-06-18,2005-06-19,False,100,1,2005
Paradise,San Bernardino,3082,2005-06-22,2005-06-25,False,100,3,2005
Soboba,Riverside,2000,2005-06-22,2005-06-24,False,100,2,2005
Hackberry,San Bernardino,71000,2005-06-22,2005-06-27,False,100,5,2005
Bailey,Madera,1056,2005-07-02,2005-07-02,False,100,0,2005
Tovey,Los Angeles,1200,2005-07-05,2005-07-06,False,100,1,2005
Millwood,Tulare,2600,2005-07-07,2005-07-07,False,100,0,2005
Nine,Tulare,1150,2005-07-09,2005-07-09,False,100,0,2005
Tesla,Alameda,6744,2005-07-19,2005-07-20,False,100,1,2005
China Lake,Kern,1282,2005-07-19,2005-07-19,False,100,0,2005
Kingston,San Bernardino,3500,2005-07-22,2005-07-23,False,100,1,2005
Cowpie,Merced,3200,2005-08-01,2005-08-01,False,100,0,2005
Halloran,San Bernardino,1500,2005-08-03,2005-08-03,False,100,0,2005
Deer,Lake,1700,2005-08-09,2005-08-09,False,100,0,2005
ThirySix,Tehama,2700,2005-08-10,2005-08-11,False,100,1,2005
Barrel,Modoc,24800,2005-08-22,2005-08-22,False,100,0,2005
Harding,Sierra,2270,2005-08-24,2005-08-24,False,100,0,2005
Manton,Tehama,1830,2005-08-26,2005-08-29,False,100,3,2005
Blaisdell,Riverside,5493,2005-08-26,2005-08-30,False,100,4,2005
Gorman,Kern,2386,2005-09-03,2005-09-05,False,100,2,2005
Pine,Tulare,1600,2005-09-19,2005-09-19,False,100,0,2005
Topanga,San Bernardino,24175,2005-09-28,2005-10-07,False,100,9,2005
San Timoteo,Riverside,1100,2005-09-28,2005-09-28,False,100,0,2005
Harvard,Los Angeles,1094,2005-09-29,2005-10-04,False,100,5,2005
River,Madera,6000,2005-10-05,2005-10-05,False,100,0,2005
Border 50,San Diego,4103,2005-10-05,2005-10-08,False,100,3,2005
Woodhouse,Riverside,6500,2005-10-05,2005-10-07,False,100,2,2005
School,Ventura,3891,2005-11-18,2005-11-19,False,100,1,2005
Sierra,Riverside,10584,2006-02-06,2006-02-06,False,100,0,2006
Hotlum,Siskiyou,3019,2006-02-25,2006-02-27,False,100,2,2006
Torch,Fresno,1964,2006-05-13,2006-05-14,False,100,1,2006
Stuhr,Stanislaus,1418,2006-05-26,2006-05-26,False,100,0,2006
Alpaugh,Tulare,1700,2006-05-27,2006-05-27,False,100,0,2006
Perkins,Santa Barbara,14988,2006-06-19,2006-06-26,False,100,7,2006
Boulder Complex,Plumas,3500,2006-06-25,2006-07-05,False,100,10,2006
Observation Complex,Lassen,4300,2006-06-25,2006-06-30,False,100,5,2006
Goodale,Inyo,3750,2006-06-26,2006-06-29,False,100,3,2006
Yolla Bolly,Tehama,1247,2006-06-27,2006-06-27,False,100,0,2006
Del Puerto,Stanislaus,2590,2006-06-30,2006-07-03,False,100,3,2006
Pedro,Tuolumne,2000,2006-07-03,2006-07-05,False,100,2,2006
Pushwalla Complex,Riverside,2000,2006-07-07,2006-07-10,False,100,3,2006
Happy Complex,Modoc,1780,2006-07-09,2006-07-09,False,100,0,2006
Canyon,Stanislaus,34000,2006-07-09,2006-07-17,False,100,8,2006
Sawtooth Complex,San Bernardino,62000,2006-07-09,2006-07-20,False,100,11,2006
Millard Fire Assist,Riverside,24210,2006-07-09,2006-07-09,False,100,0,2006
Beck,San Luis Obispo,1500,2006-07-11,2006-07-12,False,100,1,2006
Midway,Alameda,6400,2006-07-11,2006-07-11,False,100,0,2006
Creek,Lassen,1234,2006-07-18,2006-07-21,False,100,3,2006
Coytoe,Tulare,1325,2006-07-20,2006-07-21,False,100,1,2006
Olive,Merced,25007,2006-07-21,2006-07-21,False,100,0,2006
Ricco,Monterey,14506,2006-07-22,2006-07-27,False,100,5,2006
Three Rocks,Fresno,8400,2006-07-22,2006-07-22,False,100,0,2006
Horse,San Diego,16681,2006-07-23,2006-08-01,False,100,9,2006
Happy Camp,Siskiyou,3318,2006-07-23,2006-09-24,False,100,63,2006
Uncles Complex,Siskiyou,30454,2006-07-23,2006-10-31,False,100,100,2006
Oorleans Complex,Humboldt,15710,2006-07-24,2006-09-30,False,100,68,2006
Empire,Los Angeles,1094,2006-07-25,2006-07-25,False,100,0,2006
